Source,Target
Issad Rebrab & family,Algeria
Eduardo Eurnekian,Argentina
Marcos Galperin,Argentina
Alejandro Bulgheroni,Argentina
Gregorio Perez Companc & family,Argentina
Alberto Roemmers,Argentina
Terry Snow,Australia
Vivek Chaand Sehgal,Australia
Len Ainsworth,Australia
Gretel Packer,Australia
James Packer,Australia
Kerry Stokes,Australia
Alan Rydge,Australia
Jack Cowin,Australia
Michael Heine,Australia
Anthony Eisen,Australia
Nick Molnar,Australia
Bruce Mathieson,Australia
Michael Hintze,Australia
David Hains,Australia
Judith Neilson,Australia
Kerr Neilson,Australia
Lindsay Fox,Australia
Anthony Pratt,Australia
Fiona Geminder,Australia
Heloise Pratt,Australia
Angela Bennett,Australia
Andrew Forrest,Australia
John Hancock,Australia
Clive Palmer,Australia
Gina Rinehart,Australia
Ginia Rinehart,Australia
Bianca Rinehart,Australia
Hope Welker,Australia
Bob Ell,Australia
Sam Tarascio,Australia
Harry Triguboff,Australia
John Van Lieshout,Australia
Lang Walker,Australia
Nigel Austin,Australia
Gerry Harvey,Australia
Solomon Lew,Australia
Brett Blundy,Australia
"John, Alan & Bruce Wilson",Australia
John Gandel,Australia
Frank Lowy,Australia
Mike Cannon-Brookes,Australia
Scott Farquhar,Australia
Richard White,Australia
David Teoh & family,Australia
Manny Stul,Australia
Stefan Pierer,Austria
Michael Tojner,Austria
Reinold Geiger,Austria
Wolfgang Leitner,Austria
Johann Graf,Austria
Gaston Glock & family,Austria
Hubert Palfinger & family,Austria
Ulrich Mommert & family,Austria
Georg Stumpf,Austria
Rene Benko,Austria
Dietrich Mateschitz,Austria
Heidi Horten,Austria
Helmut Sohmen,Austria
Eric Wittouck,Belgium
Jan Van Geet,Belgium
Luc Tack,Belgium
Lia Maria Aguiar,Brazil
Julio Bozano,Brazil
Ana Lucia de Mattos Barretto Villela,Brazil
Alfredo Egydio Arruda Villela Filho,Brazil
Andre Esteves,Brazil
Safra siblings,Brazil
Pedro Moreira Salles,Brazil
