rank,finalWorth,name,source,industries,citizenship,gender,lastname,estWorthPrev
627,4842,Issad Rebrab & family,food,Food & Beverage,Algeria,M,Rebrab,4842
2241,1421.086,Eduardo Eurnekian,"airports, investments",Diversified,Argentina,M,Eurnekian,1421.086375
499,5818,Marcos Galperin,e-commerce,Technology,Argentina,M,Galperin,5818
1001,3278.04,Alejandro Bulgheroni,oil & gas,Energy,Argentina,M,Bulgheroni,3278.04
1366,2483.793,Gregorio Perez Companc & family,oil & gas,Energy,Argentina,M,Perez Companc,2483.792727
1521,2227.901,Alberto Roemmers,pharmaceuticals,Healthcare,Argentina,M,Roemmers,2227.901313
2359,1311.175,Terry Snow,"airports, real estate",Real Estate,Australia,M,Snow,1311.175178
861,3707.807,Vivek Chaand Sehgal,auto parts,Automotive,Australia,M,Sehgal,3707.807251
2347,1326.822,Len Ainsworth,betting machines ,Gambling & Casinos,Australia,M,Ainsworth,1326.82239
1510,2240.689,Gretel Packer,casinos,Media & Entertainment,Australia,F,Packer,2240.689259
882,3637.177,James Packer,casinos ,Gambling & Casinos,Australia,M,Packer,3637.176524
716,4359.389,Kerry Stokes,"construction equipment, media",Diversified,Australia,M,Stokes,4359.389213
2626,1089.868,Alan Rydge,entertainment,Media & Entertainment,Australia,M,Rydge,1089.868035
859,3710.41,Jack Cowin,fast food ,Food & Beverage,Australia,M,Cowin,3710.409641
2206,1448.365,Michael Heine,financial services,Finance & Investments,Australia,M,Heine,1448.365295
1992,1658.232,Anthony Eisen,fintech,Finance & Investments,Australia,M,Eisen,1658.23167
1992,1658.232,Nick Molnar,fintech,Finance & Investments,Australia,M,Molnar,1658.23167
2585,1125.868,Bruce Mathieson,hotels,Food & Beverage,Australia,M,Mathieson,1125.868192
1482,2282.503,Michael Hintze,investment,Finance & Investments,Australia,M,Hintze,2282.502773
1494,2272.027,David Hains,Investments,Finance & Investments,Australia,M,Hains,2272.02711
2257,1405.225,Judith Neilson,investments,Finance & Investments,Australia,F,Neilson,1405.224687
2239,1424.36,Kerr Neilson,Investments,Finance & Investments,Australia,M,Neilson,1424.360218
1477,2290.961,Lindsay Fox,"logistics, real estate",Logistics,Australia,M,Fox,2290.960815
213,10901.603,Anthony Pratt,manufacturing,Manufacturing,Australia,M,Pratt,10901.60308
927,3524.907,Fiona Geminder,manufacturing ,Manufacturing,Australia,F,Geminder,3524.906947
1105,2979.918,Heloise Pratt,"manufacturing, investment ",Manufacturing,Australia,F,Pratt,2979.920038
2265,1392.737,Angela Bennett,mining,Metals & Mining,Australia,F,Bennett,1392.737215
87,21523.545,Andrew Forrest,mining,Metals & Mining,Australia,M,Forrest,21523.54505
1905,1742.849,John Hancock,mining,Metals & Mining,Australia,M,Hancock,1742.848891
848,3750.962,Clive Palmer,mining,Metals & Mining,Australia,M,Palmer,3750.962415
77,23757.188,Gina Rinehart,mining,Metals & Mining,Australia,F,Rinehart,23758.49325
1892,1754.398,Ginia Rinehart,mining,Metals & Mining,Australia,F,Rinehart,1754.39772
1905,1742.849,Bianca Rinehart,mining,Metals & Mining,Australia,F,Rinehart,1742.848891
1905,1742.849,Hope Welker,mining,Metals & Mining,Australia,F,Welker,1742.848891
1447,2341.343,Bob Ell,real estate,Real Estate,Australia,M,Ell,2341.343192
2451,1228.396,Sam Tarascio,real estate,Real Estate,Australia,M,Tarascio,1228.396488
190,11774.969,Harry Triguboff,real estate,Real Estate,Australia,M,Triguboff,11774.96919
2140,1505.469,John Van Lieshout,real estate,Real Estate,Australia,M,Van Lieshout,1505.468831
1396,2432.104,Lang Walker,real estate,Real Estate,Australia,M,Walker,2432.104133
2273,1387.537,Nigel Austin,retail,Fashion & Retail,Australia,M,Austin,1387.536573
1563,2159.981,Gerry Harvey,retail,Fashion & Retail,Australia,M,Harvey,2159.981207
1446,2341.475,Solomon Lew,retail,Fashion & Retail,Australia,M,Lew,2341.474989
1564,2157.528,Brett Blundy,"retail, agribusiness",Fashion & Retail,Australia,M,Blundy,2157.52822
447,6457.211,"John, Alan & Bruce Wilson",retailing,Fashion & Retail,Australia,M,Wilson,6457.211121
840,3765.014,John Gandel,shopping malls,Real Estate,Australia,M,Gandel,3765.01445
572,5294.588,Frank Lowy,shopping malls,Real Estate,Australia,M,Lowy,5294.588029
138,15126.283,Mike Cannon-Brookes,software,Technology,Australia,M,Cannon-Brookes,15126.28326
143,14954.376,Scott Farquhar,software,Technology,Australia,M,Farquhar,14954.3759
973,3382.424,Richard White,software,Technology,Australia,M,White,3382.423964
1946,1690.779,David Teoh & family,telecom,Telecom,Australia,M,Teoh,1690.779107
2686,1037.2,Manny Stul,toys,Manufacturing,Australia,M,Stul,1037.199631
2289,1378.357,Stefan Pierer,automotive,Automotive,Austria,M,Pierer,1469.112219
702,4437.771,Michael Tojner,"batteries, investments",Manufacturing,Austria,M,Tojner,4437.770922
1487,2279.132,Reinold Geiger,beauty products,Fashion & Retail,Austria,M,Geiger,2279.13175
1533,2215.649,Wolfgang Leitner,engineering,Construction & Engineering,Austria,M,Leitner,2215.648783
